currency,code,mid,effectiveDate
bat (Tajlandia),THB,0.116,2023-07-21
dolar amerykański,USD,3.999,2023-07-21
dolar australijski,AUD,2.6978,2023-07-21
dolar Hongkongu,HKD,0.5116,2023-07-21
dolar kanadyjski,CAD,3.0346,2023-07-21
dolar nowozelandzki,NZD,2.4758,2023-07-21
dolar singapurski,SGD,3.0074,2023-07-21
euro,EUR,4.4501,2023-07-21
forint (Węgry),HUF,0.01169,2023-07-21
frank szwajcarski,CHF,4.6156,2023-07-21
funt szterling,GBP,5.1422,2023-07-21
hrywna (Ukraina),UAH,0.1088,2023-07-21
jen (Japonia),JPY,0.028178,2023-07-21
korona czeska,CZK,0.1854,2023-07-21
korona duńska,DKK,0.5973,2023-07-21
korona islandzka,ISK,0.030418,2023-07-21
korona norweska,NOK,0.3974,2023-07-21
korona szwedzka,SEK,0.3846,2023-07-21
lej rumuński,RON,0.9014,2023-07-21
lew (Bułgaria),BGN,2.2753,2023-07-21
lira turecka,TRY,0.1486,2023-07-21
nowy izraelski szekel,ILS,1.1077,2023-07-21
peso chilijskie,CLP,0.004895,2023-07-21
peso filipińskie,PHP,0.073,2023-07-21
peso meksykańskie,MXN,0.2358,2023-07-21
rand (Republika Południowej Afryki),ZAR,0.2218,2023-07-21
real (Brazylia),BRL,0.8334,2023-07-21
ringgit (Malezja),MYR,0.8765,2023-07-21
rupia indonezyjska,IDR,0.00026616,2023-07-21
rupia indyjska,INR,0.04876,2023-07-21
won południowokoreański,KRW,0.003113,2023-07-21
yuan renminbi (Chiny),CNY,0.5567,2023-07-21
SDR (MFW),XDR,5.3696,2023-07-21
afgani (Afganistan),AFN,0.046254,2023-07-21
ariary (Madagaskar),MGA,0.000901,2023-07-21
balboa (Panama),PAB,3.9612,2023-07-21
birr etiopski,ETB,0.072,2023-07-21
boliwar soberano (Wenezuela),VES,0.1377,2023-07-21
boliwiano (Boliwia),BOB,0.5731,2023-07-21
colon kostarykański,CRC,0.00738,2023-07-21
colon salwadorski,SVC,0.4527,2023-07-21
cordoba oro (Nikaragua),NIO,0.1084,2023-07-21
dalasi (Gambia),GMD,0.0633,2023-07-21
denar (Macedonia Północna),MKD,0.072216,2023-07-21
dinar algierski,DZD,0.029492,2023-07-21
dinar bahrajski,BHD,10.5132,2023-07-21
dinar iracki,IQD,0.003025,2023-07-21
dinar jordański,JOD,5.5873,2023-07-21
dinar kuwejcki,KWD,12.9262,2023-07-21
dinar libijski,LYD,0.8368,2023-07-21
dinar serbski,RSD,0.038,2023-07-21
dinar tunezyjski,TND,1.3047,2023-07-21
dirham marokański,MAD,0.4069,2023-07-21
dirham ZEA (Zjednoczone Emiraty Arabskie),AED,1.079,2023-07-21
dobra (Wyspy Świętego Tomasza i Książęca),STN,0.1798,2023-07-21
dolar bahamski,BSD,3.9612,2023-07-21
dolar barbadoski,BBD,1.9627,2023-07-21
dolar belizeński,BZD,1.966,2023-07-21
dolar brunejski,BND,2.9906,2023-07-21
dolar Fidżi,FJD,1.7859,2023-07-21
dolar gujański,GYD,0.018895,2023-07-21
dolar jamajski,JMD,0.0257,2023-07-21
dolar liberyjski,LRD,0.0215,2023-07-21
dolar namibijski,NAD,0.2218,2023-07-21
dolar surinamski,SRD,0.1028,2023-07-21
dolar Trynidadu i Tobago,TTD,0.5843,2023-07-21
dolar wschodniokaraibski,XCD,1.4636,2023-07-21
dolar Wysp Salomona,SBD,0.4802,2023-07-21
dolar Zimbabwe,ZWL,0.000831,2023-07-21
dong (Wietnam),VND,0.00016762,2023-07-21
dram (Armenia),AMD,0.010156,2023-07-21
escudo Zielonego Przylądka,CVE,0.0402,2023-07-21
florin arubański,AWG,2.1896,2023-07-21
frank burundyjski,BIF,0.001401,2023-07-21
frank CFA BCEAO ,XOF,0.006806,2023-07-21
frank CFA BEAC,XAF,0.006663,2023-07-21
frank CFP  ,XPF,0.037285,2023-07-21
frank Dżibuti,DJF,0.022257,2023-07-21
frank gwinejski,GNF,0.000461,2023-07-21
frank Komorów,KMF,0.009023,2023-07-21
frank kongijski (Dem. Republika Konga),CDF,0.001593,2023-07-21
frank rwandyjski,RWF,0.003389,2023-07-21
funt egipski,EGP,0.1283,2023-07-21
funt gibraltarski,GIP,5.1229,2023-07-21
funt libański,LBP,0.000264,2023-07-21
funt południowosudański,SSP,0.004023,2023-07-21
funt sudański,SDG,0.0066,2023-07-21
funt syryjski,SYP,0.0016,2023-07-21
Ghana cedi ,GHS,0.3515,2023-07-21
gourde (Haiti),HTG,0.0288,2023-07-21
guarani (Paragwaj),PYG,0.000546,2023-07-21
gulden Antyli Holenderskich,ANG,2.1989,2023-07-21
kina (Papua-Nowa Gwinea),PGK,1.0946,2023-07-21
kip (Laos),LAK,0.000207,2023-07-21
kwacha malawijska,MWK,0.003762,2023-07-21
kwacha zambijska,ZMW,0.208,2023-07-21
kwanza (Angola),AOA,0.0047,2023-07-21
"kyat (Myanmar, Birma)",MMK,0.001887,2023-07-21
lari (Gruzja),GEL,1.5444,2023-07-21
lej Mołdawii,MDL,0.2258,2023-07-21
lek (Albania),ALL,0.043912,2023-07-21
lempira (Honduras),HNL,0.161,2023-07-21
leone (Sierra Leone),SLE,0.202,2023-07-21
lilangeni (Eswatini),SZL,0.222,2023-07-21
loti (Lesotho),LSL,0.2218,2023-07-21
manat azerbejdżański,AZN,2.3312,2023-07-21
metical (Mozambik),MZN,0.0613,2023-07-21
naira (Nigeria),NGN,0.005125,2023-07-21
nakfa (Erytrea),ERN,0.2629,2023-07-21
nowy dolar tajwański,TWD,0.1275,2023-07-21
nowy manat (Turkmenistan),TMT,1.1321,2023-07-21
ouguiya (Mauretania),MRU,0.1081,2023-07-21
pa'anga (Tonga),TOP,1.7047,2023-07-21
pataca (Makau),MOP,0.4927,2023-07-21
peso argentyńskie,ARS,0.0148,2023-07-21
peso dominikańskie,DOP,0.0707,2023-07-21
peso kolumbijskie,COP,0.000992,2023-07-21
peso kubańskie,CUP,3.9612,2023-07-21
peso urugwajskie,UYU,0.1041,2023-07-21
pula (Botswana),BWP,0.3028,2023-07-21
quetzal (Gwatemala),GTQ,0.5048,2023-07-21
rial irański,IRR,9.4e-05,2023-07-21
rial jemeński,YER,0.01584,2023-07-21
rial katarski,QAR,1.0878,2023-07-21
rial omański,OMR,10.3068,2023-07-21
rial saudyjski,SAR,1.0564,2023-07-21
riel (Kambodża),KHR,0.00096,2023-07-21
rubel białoruski,BYN,1.2955,2023-07-21
rubel rosyjski,RUB,0.0434,2023-07-21
rupia lankijska,LKR,0.01226,2023-07-21
rupia (Malediwy),MVR,0.2563,2023-07-21
rupia Mauritiusu,MUR,0.0875,2023-07-21
rupia nepalska,NPR,0.030163,2023-07-21
rupia pakistańska,PKR,0.0141,2023-07-21
rupia seszelska,SCR,0.2963,2023-07-21
sol (Peru),PEN,1.1081,2023-07-21
som (Kirgistan),KGS,0.0451,2023-07-21
somoni (Tadżykistan),TJS,0.362,2023-07-21
sum (Uzbekistan),UZS,0.000341,2023-07-21
szyling kenijski,KES,0.027967,2023-07-21
szyling somalijski,SOS,0.006959,2023-07-21
szyling tanzański,TZS,0.001618,2023-07-21
szyling ugandyjski,UGX,0.00108,2023-07-21
taka (Bangladesz),BDT,0.036508,2023-07-21
tala (Samoa),WST,1.466,2023-07-21
tenge (Kazachstan),KZT,0.008908,2023-07-21
tugrik (Mongolia),MNT,0.001149,2023-07-21
vatu (Vanuatu),VUV,0.03364,2023-07-21
wymienialna marka (Bośnia i Hercegowina),BAM,2.2694,2023-07-21
